epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9512,0.90537,2.76222,0.00445,0.58383,0.59729,0.61484,0.50279,0.67127,1.67704,0.00851,0.000368931,0.000368931,0.000368931
2,139.583,0.8471,1.54945,0.00441,0.67832,0.70908,0.73432,0.61022,0.67318,0.94761,0.0088,0.000714868,0.000714868,0.000714868
3,204.98,0.83675,1.17572,0.00455,0.73341,0.72476,0.77602,0.62837,0.71704,0.86982,0.00993,0.00103636,0.00103636,0.00103636
4,269.601,0.83228,0.98523,0.0045,0.75888,0.75413,0.80747,0.67089,0.66337,0.76832,0.0083,0.00100101,0.00100101,0.00100101
5,334.602,0.81421,0.87541,0.00449,0.76859,0.77721,0.82451,0.67651,0.69448,0.73264,0.01003,0.000964348,0.000964348,0.000964348
6,399.488,0.79614,0.81351,0.00434,0.7704,0.78556,0.85093,0.71639,0.64103,0.7001,0.00837,0.000927685,0.000927685,0.000927685
7,463.982,0.78556,0.77578,0.00423,0.78135,0.76664,0.84277,0.7046,0.68232,0.71163,0.00914,0.000891022,0.000891022,0.000891022
8,530,0.76821,0.73312,0.00405,0.81118,0.81451,0.8776,0.74676,0.62793,0.64564,0.00793,0.000854359,0.000854359,0.000854359
9,596.567,0.76293,0.71185,0.00399,0.8137,0.80851,0.87579,0.73785,0.65173,0.63483,0.00908,0.000817696,0.000817696,0.000817696
10,663.166,0.75272,0.68811,0.00401,0.81799,0.83657,0.89051,0.77666,0.5728,0.59715,0.00651,0.000781033,0.000781033,0.000781033
11,744.27,0.73924,0.66187,0.00385,0.82653,0.84416,0.89934,0.76191,0.63843,0.62066,0.00847,0.00074437,0.00074437,0.00074437
12,871.764,0.73946,0.63779,0.00384,0.83392,0.84766,0.90102,0.77891,0.58485,0.5859,0.00666,0.000707707,0.000707707,0.000707707
13,987.064,0.72942,0.62518,0.00375,0.85633,0.83496,0.91016,0.78624,0.57782,0.55475,0.0069,0.000671044,0.000671044,0.000671044
14,1082.63,0.71504,0.6019,0.0037,0.84718,0.84304,0.91272,0.78611,0.5713,0.57032,0.0064,0.000634381,0.000634381,0.000634381
15,1160.66,0.7061,0.58039,0.00362,0.84883,0.85405,0.91729,0.80622,0.54645,0.5581,0.00608,0.000597718,0.000597718,0.000597718
16,1281.16,0.70107,0.58208,0.00357,0.86787,0.83795,0.91709,0.80576,0.5515,0.53704,0.00659,0.000561055,0.000561055,0.000561055
17,1350.96,0.69046,0.57527,0.00354,0.86649,0.84235,0.92178,0.81157,0.54604,0.51842,0.00621,0.000524392,0.000524392,0.000524392
18,1455.51,0.68309,0.55573,0.00341,0.86469,0.87082,0.92428,0.81503,0.53245,0.51364,0.00603,0.000487729,0.000487729,0.000487729
19,1567.08,0.67487,0.53856,0.00338,0.86407,0.8471,0.91957,0.81254,0.53996,0.53892,0.00622,0.000451066,0.000451066,0.000451066
20,1659.37,0.67803,0.53739,0.00334,0.85621,0.86506,0.92872,0.82352,0.53618,0.51138,0.00619,0.000414403,0.000414403,0.000414403
21,1746.67,0.6215,0.47546,0.00339,0.87464,0.85282,0.9295,0.82475,0.52496,0.49973,0.00556,0.00037774,0.00037774,0.00037774
22,1808.11,0.5977,0.44972,0.00309,0.87164,0.85511,0.93019,0.82518,0.5265,0.50631,0.00583,0.000341077,0.000341077,0.000341077
23,1869.77,0.58512,0.4359,0.00293,0.89622,0.83349,0.92825,0.82367,0.52525,0.49685,0.00595,0.000304414,0.000304414,0.000304414
24,1932.01,0.57851,0.42501,0.00286,0.85953,0.85144,0.93181,0.83564,0.4994,0.48665,0.00496,0.000267751,0.000267751,0.000267751
25,1993.4,0.56643,0.41476,0.00279,0.87052,0.85953,0.93305,0.83769,0.4864,0.48555,0.00481,0.000231088,0.000231088,0.000231088
26,2055.18,0.55786,0.40279,0.00272,0.87555,0.87071,0.93895,0.84086,0.49895,0.47333,0.00525,0.000194425,0.000194425,0.000194425
27,2116.59,0.5582,0.4073,0.00262,0.88984,0.8543,0.93775,0.84467,0.48703,0.46876,0.0048,0.000157762,0.000157762,0.000157762
28,2178.05,0.54857,0.39819,0.00255,0.86521,0.87924,0.93828,0.84395,0.48262,0.46295,0.00474,0.000121099,0.000121099,0.000121099
29,2239.79,0.54909,0.40018,0.00252,0.87185,0.87132,0.93764,0.84481,0.47473,0.45885,0.00451,8.4436e-05,8.4436e-05,8.4436e-05
30,2301.18,0.5391,0.39012,0.00246,0.86804,0.88414,0.93964,0.84885,0.47029,0.45645,0.00444,4.7773e-05,4.7773e-05,4.7773e-05
