epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7086,0.90537,2.76222,0.00445,0.58383,0.59729,0.61484,0.50279,0.67127,1.67704,0.00851,0.000368931,0.000368931,0.000368931
2,136.268,0.84977,1.54892,0.00444,0.69983,0.69862,0.75111,0.62999,0.64261,0.92241,0.008,0.000724626,0.000724626,0.000724626
3,201.395,0.83409,1.17714,0.00454,0.77267,0.68107,0.77358,0.63264,0.73072,0.87023,0.00992,0.00106566,0.00106566,0.00106566
4,265.8,0.83032,0.99368,0.00449,0.77072,0.73682,0.80563,0.65856,0.70961,0.79487,0.01001,0.00104501,0.00104501,0.00104501
5,329.634,0.81949,0.88803,0.00459,0.75975,0.76782,0.82962,0.68683,0.67259,0.74964,0.00911,0.00102301,0.00102301,0.00102301
6,393.912,0.79784,0.82533,0.00437,0.83026,0.73339,0.83593,0.70466,0.64359,0.72339,0.00807,0.00100101,0.00100101,0.00100101
7,457.622,0.7868,0.79118,0.00424,0.80029,0.76973,0.85281,0.71734,0.65091,0.72483,0.00822,0.000979013,0.000979013,0.000979013
8,521.762,0.77663,0.74285,0.00411,0.80685,0.80989,0.86744,0.72959,0.64554,0.66941,0.00849,0.000957015,0.000957015,0.000957015
9,585.881,0.77051,0.72365,0.00408,0.82157,0.7922,0.87876,0.74967,0.61947,0.61915,0.00769,0.000935018,0.000935018,0.000935018
10,649.741,0.7606,0.69699,0.00402,0.798,0.84187,0.8837,0.75933,0.60632,0.62671,0.00743,0.00091302,0.00091302,0.00091302
11,713.659,0.75109,0.67418,0.00398,0.82497,0.81458,0.8772,0.75162,0.59465,0.63826,0.00696,0.000891022,0.000891022,0.000891022
12,777.444,0.75066,0.65707,0.00393,0.80817,0.82759,0.88427,0.75362,0.62151,0.61684,0.00757,0.000869024,0.000869024,0.000869024
13,841.473,0.74444,0.64325,0.00389,0.82514,0.83351,0.89929,0.77787,0.58461,0.58311,0.00702,0.000847026,0.000847026,0.000847026
14,905.477,0.73484,0.62143,0.00389,0.8572,0.84021,0.90965,0.78105,0.59859,0.57149,0.00728,0.000825029,0.000825029,0.000825029
15,969.349,0.72645,0.59476,0.00384,0.84817,0.81291,0.8962,0.77422,0.59389,0.6017,0.00756,0.000803031,0.000803031,0.000803031
16,1033.2,0.7256,0.60394,0.0038,0.82273,0.83908,0.89596,0.7724,0.58652,0.58962,0.00709,0.000781033,0.000781033,0.000781033
17,1097.13,0.71983,0.60409,0.0038,0.84386,0.82665,0.90499,0.78193,0.59077,0.55607,0.00728,0.000759035,0.000759035,0.000759035
18,1161.16,0.7111,0.58191,0.00371,0.87445,0.83838,0.9165,0.79516,0.59038,0.5463,0.0074,0.000737037,0.000737037,0.000737037
19,1225.22,0.70156,0.57037,0.00364,0.86347,0.85485,0.9215,0.81174,0.54486,0.52443,0.00612,0.00071504,0.00071504,0.00071504
20,1289.31,0.70523,0.56399,0.00358,0.85979,0.83607,0.90816,0.79702,0.56723,0.53369,0.00662,0.000693042,0.000693042,0.000693042
21,1353.3,0.70124,0.55121,0.00356,0.87649,0.84145,0.91736,0.79989,0.56537,0.53551,0.0068,0.000671044,0.000671044,0.000671044
22,1417.4,0.69281,0.54811,0.00348,0.84846,0.85143,0.91867,0.80859,0.5503,0.51798,0.00623,0.000649046,0.000649046,0.000649046
23,1484.84,0.68839,0.53708,0.00348,0.85419,0.85752,0.92528,0.82165,0.52741,0.52631,0.00592,0.000627048,0.000627048,0.000627048
24,1558.47,0.68237,0.53197,0.00346,0.86059,0.85546,0.91822,0.8137,0.53479,0.5292,0.00597,0.000605051,0.000605051,0.000605051
25,1622.91,0.67791,0.51619,0.00334,0.88346,0.84639,0.92476,0.82265,0.52715,0.4946,0.00595,0.000583053,0.000583053,0.000583053
26,1687.17,0.67079,0.5213,0.00344,0.8671,0.84861,0.9227,0.81822,0.52626,0.50894,0.00566,0.000561055,0.000561055,0.000561055
27,1750.89,0.66934,0.51363,0.00339,0.88212,0.8386,0.91784,0.8143,0.53516,0.50861,0.00611,0.000539057,0.000539057,0.000539057
28,1815.11,0.6556,0.50265,0.00323,0.87408,0.84549,0.91735,0.81471,0.5208,0.51176,0.00576,0.000517059,0.000517059,0.000517059
29,1879,0.66029,0.49954,0.00324,0.88124,0.85665,0.92344,0.82486,0.52047,0.5063,0.00568,0.000495062,0.000495062,0.000495062
30,1942.96,0.65315,0.49535,0.00328,0.86192,0.86866,0.92656,0.82687,0.5203,0.49167,0.00603,0.000473064,0.000473064,0.000473064
31,2006.32,0.64583,0.48508,0.00311,0.86279,0.85948,0.92524,0.82772,0.50683,0.5106,0.00545,0.000451066,0.000451066,0.000451066
32,2070.44,0.64122,0.48522,0.0032,0.86347,0.86733,0.92582,0.82838,0.50789,0.49014,0.00548,0.000429068,0.000429068,0.000429068
33,2134.2,0.64099,0.48198,0.00315,0.87009,0.87842,0.93047,0.83329,0.51355,0.48183,0.00563,0.00040707,0.00040707,0.00040707
34,2198.33,0.63411,0.47521,0.00307,0.8617,0.85374,0.92174,0.82901,0.48929,0.48548,0.00496,0.000385073,0.000385073,0.000385073
35,2261.65,0.616,0.4623,0.00311,0.88403,0.86889,0.9324,0.83932,0.49114,0.4631,0.00506,0.000363075,0.000363075,0.000363075
36,2325.32,0.62007,0.45716,0.00305,0.87138,0.87556,0.92632,0.83219,0.49892,0.49063,0.00525,0.000341077,0.000341077,0.000341077
37,2388.82,0.6286,0.46365,0.00302,0.86656,0.87422,0.92802,0.83695,0.48391,0.47331,0.00493,0.000319079,0.000319079,0.000319079
38,2452.66,0.61752,0.45507,0.00296,0.85855,0.88245,0.93644,0.84359,0.47876,0.45965,0.00491,0.000297081,0.000297081,0.000297081
39,2516.45,0.61784,0.45128,0.00292,0.85854,0.8896,0.93316,0.84317,0.4752,0.4631,0.00479,0.000275084,0.000275084,0.000275084
40,2579.77,0.60846,0.44745,0.00288,0.87509,0.88625,0.9356,0.84498,0.47373,0.45742,0.00477,0.000253086,0.000253086,0.000253086
41,2665.04,0.55239,0.38641,0.00278,0.90296,0.84991,0.93029,0.83732,0.4782,0.48568,0.00477,0.000231088,0.000231088,0.000231088
42,2726.04,0.53892,0.37681,0.00263,0.89077,0.87452,0.93609,0.84621,0.47223,0.47726,0.00459,0.00020909,0.00020909,0.00020909
43,2787.91,0.53187,0.36996,0.00257,0.87011,0.88167,0.93496,0.84427,0.47114,0.47108,0.00464,0.000187092,0.000187092,0.000187092
44,2849.16,0.53344,0.36586,0.00253,0.88107,0.86595,0.93657,0.84992,0.46838,0.47635,0.00456,0.000165095,0.000165095,0.000165095
45,2911.47,0.52972,0.3683,0.0025,0.87814,0.88365,0.93737,0.84936,0.46812,0.4647,0.00451,0.000143097,0.000143097,0.000143097
46,2972.58,0.52554,0.36038,0.00239,0.89126,0.87371,0.93925,0.85235,0.465,0.46453,0.00446,0.000121099,0.000121099,0.000121099
47,3033.65,0.52199,0.35692,0.00237,0.88389,0.88324,0.94209,0.85405,0.46439,0.4642,0.0045,9.91012e-05,9.91012e-05,9.91012e-05
48,3094.43,0.51302,0.34846,0.00233,0.89324,0.8782,0.94049,0.85464,0.46144,0.45691,0.00439,7.71034e-05,7.71034e-05,7.71034e-05
49,3155.82,0.52021,0.34674,0.0023,0.89029,0.88043,0.94105,0.85565,0.46008,0.45728,0.00437,5.51056e-05,5.51056e-05,5.51056e-05
50,3216.66,0.5108,0.34458,0.00227,0.88845,0.8862,0.94144,0.85537,0.45797,0.46114,0.00431,3.31078e-05,3.31078e-05,3.31078e-05
