epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6639,0.62295,2.15627,1.14812,0.63513,0.6791,0.76715,0.63058,0.59412,1.98269,1.12676,0.000330808,0.000330808,0.000330808
2,81.1067,0.67435,1.42609,1.16339,0.73347,0.72925,0.79466,0.6323,0.71459,1.26063,1.22427,0.000650991,0.000650991,0.000650991
3,120.137,0.68558,1.25532,1.15896,0.75269,0.72483,0.80773,0.64982,0.74043,1.17911,1.25275,0.000957975,0.000957975,0.000957975
4,158.8,0.70119,1.17008,1.17044,0.83932,0.78069,0.86432,0.68217,0.73724,0.9934,1.25131,0.0009406,0.0009406,0.0009406
5,198.435,0.65635,1.02349,1.14951,0.82822,0.79156,0.86937,0.71307,0.64514,0.89364,1.15825,0.0009208,0.0009208,0.0009208
6,237.708,0.64814,0.9627,1.13452,0.84139,0.76929,0.88069,0.68392,0.72863,0.95631,1.21767,0.000901,0.000901,0.000901
7,276.741,0.64615,0.8776,1.12761,0.90591,0.87282,0.94483,0.80045,0.58398,0.6169,1.07416,0.0008812,0.0008812,0.0008812
8,315.662,0.62028,0.81672,1.1087,0.90945,0.83399,0.93392,0.78229,0.62688,0.68558,1.13529,0.0008614,0.0008614,0.0008614
9,354.607,0.61873,0.80004,1.11436,0.9305,0.85686,0.93644,0.80707,0.56252,0.58913,1.06629,0.0008416,0.0008416,0.0008416
10,394.108,0.59598,0.76303,1.10354,0.92098,0.87798,0.94597,0.81849,0.54741,0.57324,1.05775,0.0008218,0.0008218,0.0008218
11,433.544,0.58971,0.71816,1.09693,0.93779,0.8981,0.95388,0.8386,0.51734,0.50601,1.03225,0.000802,0.000802,0.000802
12,472.961,0.57286,0.71315,1.09,0.88279,0.83449,0.9293,0.78992,0.54765,0.61881,1.05754,0.0007822,0.0007822,0.0007822
13,512.286,0.55996,0.67702,1.07574,0.93109,0.8904,0.95613,0.83024,0.53006,0.52457,1.03474,0.0007624,0.0007624,0.0007624
14,551.764,0.54349,0.6341,1.06916,0.93494,0.90075,0.96403,0.84367,0.50597,0.4721,1.01785,0.0007426,0.0007426,0.0007426
15,591.04,0.55078,0.63697,1.07258,0.9065,0.88712,0.95447,0.83413,0.51706,0.52076,1.03403,0.0007228,0.0007228,0.0007228
16,630.639,0.51993,0.60378,1.05324,0.93972,0.90222,0.96389,0.84603,0.50314,0.4746,1.02902,0.000703,0.000703,0.000703
17,670.016,0.51689,0.5847,1.04813,0.92869,0.9145,0.96557,0.85473,0.48563,0.46352,1.00621,0.0006832,0.0006832,0.0006832
18,709.508,0.51669,0.55854,1.04882,0.93065,0.89292,0.96154,0.84549,0.50354,0.47927,1.0196,0.0006634,0.0006634,0.0006634
19,749.506,0.50469,0.56083,1.04238,0.94062,0.89922,0.96284,0.85577,0.49064,0.44148,1.00317,0.0006436,0.0006436,0.0006436
20,789.655,0.50156,0.55045,1.04119,0.94703,0.92598,0.97311,0.86335,0.48158,0.41821,1.00926,0.0006238,0.0006238,0.0006238
21,829.85,0.48512,0.51504,1.03409,0.94087,0.92272,0.97135,0.87025,0.46762,0.42342,0.99477,0.000604,0.000604,0.000604
22,870.366,0.47757,0.50317,1.02725,0.94996,0.92272,0.97268,0.86746,0.47656,0.40867,0.99453,0.0005842,0.0005842,0.0005842
23,911.461,0.47425,0.48956,1.02468,0.95312,0.90678,0.97031,0.86976,0.464,0.40933,0.99454,0.0005644,0.0005644,0.0005644
24,951.855,0.48837,0.49347,1.02489,0.95281,0.91682,0.96931,0.87392,0.45593,0.3977,0.98641,0.0005446,0.0005446,0.0005446
25,992.669,0.47543,0.4841,1.02534,0.93628,0.94125,0.97348,0.87597,0.44699,0.37564,0.97579,0.0005248,0.0005248,0.0005248
26,1033.72,0.46375,0.46638,1.01736,0.96341,0.91068,0.97325,0.8817,0.4384,0.36967,0.95916,0.000505,0.000505,0.000505
27,1074.44,0.44951,0.46702,1.00742,0.94468,0.91113,0.96548,0.86819,0.4534,0.39943,0.97859,0.0004852,0.0004852,0.0004852
28,1115.16,0.44495,0.45112,1.00513,0.94192,0.93661,0.97802,0.88424,0.43449,0.35247,0.96761,0.0004654,0.0004654,0.0004654
29,1155.4,0.4472,0.44053,1.01172,0.94864,0.9362,0.97383,0.88836,0.42351,0.36127,0.95724,0.0004456,0.0004456,0.0004456
30,1195.34,0.43349,0.4343,1.00111,0.95342,0.91989,0.96838,0.88469,0.4185,0.37237,0.95721,0.0004258,0.0004258,0.0004258
31,1235.43,0.43631,0.42923,1.00078,0.95752,0.93525,0.9754,0.88778,0.41529,0.35315,0.95038,0.000406,0.000406,0.000406
32,1275.58,0.42225,0.41298,0.9898,0.9616,0.92886,0.97053,0.88924,0.41912,0.35858,0.94895,0.0003862,0.0003862,0.0003862
33,1315.6,0.42412,0.39872,0.99162,0.95,0.93968,0.97693,0.89304,0.42123,0.33115,0.9582,0.0003664,0.0003664,0.0003664
34,1355.74,0.40666,0.40196,0.98797,0.96527,0.93281,0.97733,0.89305,0.41506,0.33608,0.95566,0.0003466,0.0003466,0.0003466
35,1396.48,0.40593,0.40103,0.98483,0.95525,0.92774,0.97252,0.88846,0.41652,0.34719,0.95271,0.0003268,0.0003268,0.0003268
36,1436.67,0.40796,0.384,0.99244,0.956,0.94294,0.97587,0.89457,0.41317,0.34025,0.95011,0.000307,0.000307,0.000307
37,1476.63,0.40593,0.38623,0.98142,0.97245,0.93596,0.97914,0.89345,0.40824,0.32218,0.94615,0.0002872,0.0002872,0.0002872
38,1516.64,0.3985,0.36478,0.9806,0.96726,0.93985,0.98151,0.89699,0.42021,0.31235,0.95838,0.0002674,0.0002674,0.0002674
39,1557.44,0.39672,0.36463,0.98203,0.96724,0.93748,0.97814,0.89653,0.40693,0.32024,0.95035,0.0002476,0.0002476,0.0002476
40,1597.78,0.39819,0.37367,0.98297,0.96657,0.94075,0.97945,0.90359,0.39221,0.30617,0.93616,0.0002278,0.0002278,0.0002278
41,1659.86,0.31105,0.2934,0.9048,0.94454,0.9246,0.96846,0.88987,0.39862,0.34517,0.94762,0.000208,0.000208,0.000208
42,1698.83,0.2977,0.27659,0.89032,0.96859,0.9378,0.97618,0.90084,0.39279,0.31476,0.93648,0.0001882,0.0001882,0.0001882
43,1737.69,0.29193,0.25783,0.89535,0.96919,0.95134,0.97917,0.89691,0.39579,0.30196,0.93609,0.0001684,0.0001684,0.0001684
44,1776.95,0.28065,0.23868,0.88621,0.97014,0.95123,0.98013,0.90298,0.38657,0.30204,0.92922,0.0001486,0.0001486,0.0001486
45,1815.87,0.27724,0.23702,0.88217,0.96614,0.95087,0.98129,0.90556,0.3859,0.29503,0.93119,0.0001288,0.0001288,0.0001288
46,1854.81,0.26461,0.22583,0.8778,0.97018,0.95142,0.98107,0.90627,0.37917,0.29326,0.92971,0.000109,0.000109,0.000109
47,1894.48,0.26744,0.2236,0.87833,0.97696,0.94672,0.98121,0.9066,0.3776,0.2887,0.92631,8.92e-05,8.92e-05,8.92e-05
48,1934.84,0.2551,0.20808,0.8643,0.97993,0.95035,0.98303,0.91397,0.37291,0.27373,0.92609,6.94e-05,6.94e-05,6.94e-05
49,1974.63,0.2483,0.20497,0.86539,0.97647,0.9504,0.98282,0.91399,0.37167,0.27359,0.92585,4.96e-05,4.96e-05,4.96e-05
50,2014.22,0.24379,0.20084,0.8669,0.97361,0.95091,0.98371,0.91725,0.36585,0.27191,0.9234,2.98e-05,2.98e-05,2.98e-05
