epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4452,0.78323,2.1097,1.25755,0.77584,0.74874,0.81887,0.58874,0.90389,1.51815,1.43134,0.000413333,0.000413333,0.000413333
2,49.6416,0.83672,1.33487,1.27477,0.8042,0.73947,0.77751,0.55936,0.97003,1.40411,1.46973,0.000813566,0.000813566,0.000813566
3,72.2474,0.88422,1.23683,1.29719,0.73485,0.73605,0.75924,0.48802,1.09929,1.35159,1.63784,0.0011973,0.0011973,0.0011973
4,95.4807,0.89714,1.15523,1.30873,0.64569,0.65255,0.69494,0.50732,0.88156,1.24324,1.40129,0.00117575,0.00117575,0.00117575
5,118.808,0.84841,1.01458,1.28159,0.78714,0.75997,0.80224,0.5776,0.94587,1.06595,1.42575,0.001151,0.001151,0.001151
6,141.799,0.83829,0.92024,1.27036,0.69735,0.74614,0.78722,0.58528,0.88676,1.07227,1.38914,0.00112625,0.00112625,0.00112625
7,164.859,0.80662,0.86195,1.24691,0.81577,0.83575,0.8744,0.67377,0.80134,0.7529,1.30048,0.0011015,0.0011015,0.0011015
8,188.183,0.79279,0.81953,1.23382,0.83525,0.81342,0.8597,0.65826,0.84169,0.78708,1.32271,0.00107675,0.00107675,0.00107675
9,211.279,0.76106,0.74996,1.2143,0.7681,0.76113,0.81774,0.62334,0.84862,0.95635,1.3285,0.001052,0.001052,0.001052
10,234.53,0.76897,0.76749,1.22443,0.86732,0.85057,0.90526,0.70019,0.80341,0.68632,1.28328,0.00102725,0.00102725,0.00102725
11,257.98,0.74903,0.73541,1.20939,0.89604,0.79464,0.87719,0.69106,0.7946,0.72298,1.29092,0.0010025,0.0010025,0.0010025
12,281.108,0.74744,0.70311,1.21613,0.88583,0.83275,0.88189,0.70074,0.759,0.65769,1.25823,0.00097775,0.00097775,0.00097775
13,304.325,0.75538,0.71069,1.21029,0.89124,0.84412,0.89906,0.71665,0.75109,0.63557,1.24954,0.000953,0.000953,0.000953
14,327.345,0.73899,0.68385,1.20708,0.8208,0.81319,0.88673,0.69833,0.75804,0.72177,1.24162,0.00092825,0.00092825,0.00092825
15,350.596,0.73933,0.66299,1.19884,0.88112,0.85813,0.91126,0.72705,0.74625,0.62369,1.25271,0.0009035,0.0009035,0.0009035
16,373.692,0.70298,0.6373,1.17904,0.89831,0.85248,0.90804,0.70985,0.77584,0.62679,1.27415,0.00087875,0.00087875,0.00087875
17,396.963,0.68997,0.61599,1.17233,0.83598,0.82601,0.87316,0.68734,0.7796,0.69464,1.27592,0.000854,0.000854,0.000854
18,420.956,0.70278,0.61279,1.17221,0.9068,0.88045,0.9209,0.73621,0.73675,0.58085,1.22504,0.00082925,0.00082925,0.00082925
19,444.02,0.68934,0.5784,1.17042,0.91399,0.85797,0.92512,0.74254,0.7003,0.56843,1.19014,0.0008045,0.0008045,0.0008045
20,467.682,0.68654,0.59208,1.16663,0.9025,0.84491,0.91285,0.73764,0.71391,0.58271,1.21035,0.00077975,0.00077975,0.00077975
21,493.179,0.6738,0.55795,1.16184,0.87379,0.8566,0.9143,0.73988,0.71018,0.57716,1.20116,0.000755,0.000755,0.000755
22,518.619,0.67906,0.56172,1.17112,0.95132,0.87086,0.93364,0.75316,0.71022,0.53065,1.21083,0.00073025,0.00073025,0.00073025
23,543.705,0.66473,0.53828,1.14328,0.8787,0.88251,0.91761,0.74633,0.7057,0.55835,1.19844,0.0007055,0.0007055,0.0007055
24,568.994,0.65161,0.52716,1.13556,0.93354,0.88153,0.9363,0.75633,0.71469,0.52238,1.19096,0.00068075,0.00068075,0.00068075
25,594.246,0.65506,0.54395,1.14793,0.89995,0.87135,0.90826,0.734,0.70324,0.56571,1.1999,0.000656,0.000656,0.000656
26,619.849,0.64076,0.52843,1.13972,0.9211,0.86421,0.9165,0.72984,0.71806,0.55228,1.20226,0.00063125,0.00063125,0.00063125
