epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.755,0.62011,8.40328,0.01553,0.59043,0.44846,0.53018,0.42039,0.71914,3.81852,0.02048,0.000413333,0.000413333,0.000413333
2,164.324,0.76185,5.64788,0.0196,0.628,0.69305,0.73385,0.58887,0.79757,1.79098,0.02274,0.00074783,0.00074783,0.00074783
3,224.334,0.79469,3.44339,0.02081,0.75425,0.73977,0.78774,0.60529,0.9123,0.98745,0.02638,0.000999827,0.000999827,0.000999827
4,286.075,0.7972,2.01839,0.02054,0.79466,0.75919,0.83306,0.64564,0.83347,0.79581,0.02426,0.00087875,0.00087875,0.00087875
5,347.771,0.74468,1.37309,0.01918,0.79589,0.80349,0.84218,0.65236,0.86611,0.84049,0.02534,0.000755,0.000755,0.000755
6,408.918,0.71519,1.02805,0.01797,0.797,0.82175,0.87397,0.71055,0.72354,0.6776,0.01998,0.00063125,0.00063125,0.00063125
7,474.107,0.67165,0.84219,0.01635,0.85478,0.81691,0.88663,0.7352,0.71833,0.6545,0.01967,0.0005075,0.0005075,0.0005075
8,533.047,0.61815,0.72203,0.01495,0.88452,0.79928,0.89954,0.75147,0.69023,0.61868,0.01872,0.00038375,0.00038375,0.00038375
9,594.164,0.59922,0.65481,0.01482,0.85813,0.86057,0.91309,0.7506,0.7249,0.58795,0.02026,0.00026,0.00026,0.00026
10,660.882,0.55594,0.60023,0.01352,0.85827,0.8874,0.9115,0.76286,0.65969,0.5911,0.01777,0.00013625,0.00013625,0.00013625
