epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.52,3.34904,4.9013,0.02794,0.01079,0.35718,0.02387,0.0061,nan,nan,nan,0.000369269,0.000369269,0.000369269
2,336.695,2.65248,3.1437,0.0188,0.43532,0.21858,0.21478,0.0901,nan,nan,nan,0.000729142,0.000729142,0.000729142
3,496.475,2.21062,2.34525,0.01432,0.46156,0.35925,0.36223,0.17739,nan,nan,nan,0.00107854,0.00107854,0.00107854
4,650.454,2.0193,1.97932,0.01266,0.52057,0.45969,0.45768,0.25462,nan,nan,nan,0.00106386,0.00106386,0.00106386
5,811.781,1.87756,1.75656,0.0115,0.48864,0.47455,0.49257,0.2936,nan,nan,nan,0.00104815,0.00104815,0.00104815
6,981.45,1.78766,1.60322,0.01074,0.59586,0.56118,0.58961,0.3685,nan,nan,nan,0.00103244,0.00103244,0.00103244
7,1150,1.72406,1.49506,0.00998,0.63651,0.5685,0.60085,0.37813,nan,nan,nan,0.00101672,0.00101672,0.00101672
8,1317.22,1.65809,1.42223,0.00971,0.67502,0.60467,0.6441,0.42355,nan,nan,nan,0.00100101,0.00100101,0.00100101
9,1440.02,1.62236,1.33785,0.00919,0.67556,0.6234,0.66025,0.43747,nan,nan,nan,0.000985298,0.000985298,0.000985298
10,1574.84,1.57706,1.30522,0.00913,0.72744,0.63748,0.71043,0.48664,nan,nan,nan,0.000969586,0.000969586,0.000969586
11,1716.61,1.53405,1.24047,0.0087,0.69282,0.66661,0.70924,0.48942,nan,nan,nan,0.000953873,0.000953873,0.000953873
12,1879.06,1.49475,1.20005,0.0083,0.72428,0.65329,0.71717,0.50242,nan,nan,nan,0.00093816,0.00093816,0.00093816
13,2004.18,1.46171,1.15678,0.00813,0.73871,0.69057,0.75516,0.5304,nan,nan,nan,0.000922447,0.000922447,0.000922447
14,2169.25,1.44639,1.13263,0.00793,0.77379,0.6951,0.77322,0.55216,nan,nan,nan,0.000906735,0.000906735,0.000906735
15,2333.98,1.42033,1.10099,0.00778,0.74246,0.6817,0.76093,0.56014,nan,nan,nan,0.000891022,0.000891022,0.000891022
16,2501,1.3822,1.06105,0.00748,0.77569,0.69443,0.77832,0.57668,nan,nan,nan,0.000875309,0.000875309,0.000875309
17,2637.95,1.37904,1.03749,0.00736,0.73615,0.73455,0.79041,0.58209,nan,nan,nan,0.000859597,0.000859597,0.000859597
18,2749.7,1.35628,1.02962,0.00739,0.78433,0.73614,0.81235,0.6051,nan,nan,nan,0.000843884,0.000843884,0.000843884
19,2873.56,1.33577,1.00005,0.00715,0.81054,0.74329,0.83022,0.62335,nan,nan,nan,0.000828171,0.000828171,0.000828171
20,3002.52,1.32229,0.97884,0.007,0.81536,0.66283,0.73741,0.56911,nan,nan,nan,0.000812458,0.000812458,0.000812458
21,3087.34,1.29763,0.95266,0.00689,0.82585,0.74806,0.8479,0.65105,nan,nan,nan,0.000796746,0.000796746,0.000796746
22,3240.37,1.28596,0.93733,0.00691,0.81453,0.73643,0.83213,0.6392,nan,nan,nan,0.000781033,0.000781033,0.000781033
23,3401.88,1.26949,0.92284,0.00663,0.79763,0.78948,0.85954,0.66146,nan,nan,nan,0.00076532,0.00076532,0.00076532
24,3547.72,1.25664,0.91457,0.00665,0.81594,0.76329,0.83678,0.64391,nan,nan,nan,0.000749608,0.000749608,0.000749608
25,3686.09,1.24286,0.89915,0.00651,0.84389,0.7798,0.87151,0.67941,nan,nan,nan,0.000733895,0.000733895,0.000733895
26,3796.77,1.24348,0.8848,0.00641,0.83405,0.7948,0.87378,0.68816,nan,nan,nan,0.000718182,0.000718182,0.000718182
27,3917.93,1.21639,0.87149,0.00638,0.81664,0.79707,0.86964,0.68423,nan,nan,nan,0.000702469,0.000702469,0.000702469
28,4050.04,1.21694,0.86634,0.00642,0.84993,0.81686,0.88813,0.70106,nan,nan,nan,0.000686757,0.000686757,0.000686757
29,4211.77,1.2104,0.84911,0.00624,0.8687,0.79417,0.89059,0.69905,nan,nan,nan,0.000671044,0.000671044,0.000671044
30,4374.53,1.1919,0.84325,0.00617,0.84587,0.82347,0.88952,0.70699,nan,nan,nan,0.000655331,0.000655331,0.000655331
31,4550.16,1.18558,0.8213,0.00607,0.82282,0.81748,0.88948,0.708,nan,nan,nan,0.000639619,0.000639619,0.000639619
32,4719.91,1.17533,0.81247,0.006,0.84738,0.8255,0.89246,0.71472,nan,nan,nan,0.000623906,0.000623906,0.000623906
33,4886.05,1.17519,0.80985,0.00596,0.86073,0.82484,0.89891,0.72251,0.92588,0.68495,0.00976,0.000608193,0.000608193,0.000608193
34,5056.04,1.1599,0.801,0.00596,0.86458,0.82121,0.89857,0.71565,nan,nan,nan,0.00059248,0.00059248,0.00059248
35,5220.89,1.16785,0.80416,0.0058,0.85292,0.82961,0.90464,0.72878,nan,nan,nan,0.000576768,0.000576768,0.000576768
36,5323.46,1.14503,0.78831,0.00581,0.85672,0.83688,0.90843,0.73406,nan,nan,nan,0.000561055,0.000561055,0.000561055
37,5400.91,1.14942,0.78268,0.00569,0.86837,0.83251,0.90884,0.73425,0.89776,0.66259,0.00935,0.000545342,0.000545342,0.000545342
38,5478.47,1.12613,0.77114,0.00576,0.86822,0.83253,0.90836,0.73388,nan,nan,nan,0.00052963,0.00052963,0.00052963
39,5556.08,1.13634,0.76694,0.00562,0.87859,0.84162,0.91313,0.74067,0.88583,0.66003,0.00914,0.000513917,0.000513917,0.000513917
40,5634.26,1.12256,0.75712,0.00561,0.87355,0.82939,0.91662,0.74142,0.89452,0.64921,0.00927,0.000498204,0.000498204,0.000498204
41,5712.49,1.12048,0.75697,0.00559,0.87966,0.84843,0.91916,0.7469,nan,nan,nan,0.000482491,0.000482491,0.000482491
42,5790.94,1.1025,0.73906,0.00556,0.87724,0.84597,0.91992,0.7507,nan,nan,nan,0.000466779,0.000466779,0.000466779
43,5870.08,1.1029,0.73933,0.0055,0.88532,0.84466,0.92097,0.75403,0.86998,0.62346,0.00906,0.000451066,0.000451066,0.000451066
44,5948.99,1.09454,0.73072,0.00543,0.89292,0.83307,0.9183,0.75456,nan,nan,nan,0.000435353,0.000435353,0.000435353
45,6027.22,1.09013,0.72599,0.00532,0.88866,0.83506,0.92229,0.75915,0.85128,0.62135,0.00858,0.000419641,0.000419641,0.000419641
46,6106.52,1.09821,0.72645,0.00536,0.8716,0.85388,0.92373,0.75852,0.85231,0.61816,0.00859,0.000403928,0.000403928,0.000403928
47,6192.19,1.08261,0.71826,0.00533,0.87384,0.86083,0.92388,0.76149,0.84623,0.61012,0.00858,0.000388215,0.000388215,0.000388215
48,6272.99,1.06381,0.71001,0.00534,0.88342,0.85702,0.92514,0.76111,0.84564,0.61007,0.00853,0.000372502,0.000372502,0.000372502
49,6360.89,1.07744,0.71535,0.00525,0.89851,0.8489,0.92699,0.76434,0.84289,0.60451,0.0085,0.00035679,0.00035679,0.00035679
